代码,名称,当前价,ATR,突破信号,建议手数,止损价,潜在突破位(20日最高价),距离突破%,最新日期,加仓机会,加仓目标价列表,PE,PB,ROE
000001,平安银行,10.68,0.138,False,72200,10.4,11.6,8.61,2026-05-25,False,[],N/A,N/A,
000002,万  科Ａ,3.49,0.107,False,93400,3.28,4.16,19.2,2026-05-25,False,[],N/A,N/A,
000063,中兴通讯,36.27,1.406,False,7100,33.46,40.2,10.84,2026-05-25,False,[],N/A,N/A,
000100,TCL科技,4.44,0.159,False,62700,4.12,4.65,4.73,2026-05-25,False,[],N/A,N/A,
000157,中联重科,7.48,0.252,False,39600,6.98,8.44,12.83,2026-05-25,False,[],N/A,N/A,
000166,申万宏源,4.45,0.087,False,114300,4.28,4.82,8.31,2026-05-25,False,[],N/A,N/A,
000301,东方盛虹,12.39,0.432,False,23100,11.53,13.48,8.8,2026-05-25,False,[],N/A,N/A,
000333,美的集团,79.81,1.672,False,5900,76.47,83.44,4.55,2026-05-25,False,[],N/A,N/A,
000338,潍柴动力,35.1,1.697,False,5800,31.71,35.85,2.14,2026-05-25,False,[],N/A,N/A,
000408,藏格矿业,79.2,3.576,False,2700,72.05,92.88,17.27,2026-05-25,False,[],N/A,N/A,
000425,徐工机械,9.76,0.439,False,22700,8.88,11.06,13.32,2026-05-25,False,[],N/A,N/A,
000538,云南白药,49.47,0.576,False,17300,48.32,54.85,10.88,2026-05-25,False,[],N/A,N/A,
000568,泸州老窖,91.85,2.653,False,3700,86.54,103.55,12.74,2026-05-25,False,[],N/A,N/A,
000596,古井贡酒,93.55,3.372,False,2900,86.81,111.7,19.4,2026-05-25,False,[],N/A,N/A,
000617,中油资本,7.99,0.303,False,32900,7.38,9.54,19.4,2026-05-25,False,[],N/A,N/A,
000625,长安汽车,8.38,0.183,False,54700,8.01,10.14,21.0,2026-05-25,False,[],N/A,N/A,
000630,铜陵有色,6.74,0.31,False,32200,6.12,7.2,6.82,2026-05-25,False,[],N/A,N/A,
